city,gu,day_care_name,day_care_type,day_care_baby_num,teacher_num,nursing_room_num,playground_num,CCTV_num,is_commuting_vehicle,reference_date
서울특별시,서대문구,가람어린이집,국공립,70,11.0,5.0,1.0,7.0,N,2018-07-31
서울특별시,서대문구,가좌제일어린이집,국공립,88,22.0,5.0,2.0,10.0,N,2018-07-31
서울특별시,서대문구,경찰청어린이집,직장,90,23.0,6.0,1.0,32.0,N,2018-07-31
서울특별시,서대문구,고운햇살어린이집,가정,18,5.0,3.0,0.0,4.0,N,2018-07-31
서울특별시,서대문구,고은어린이집,국공립,93,20.0,7.0,2.0,10.0,N,2018-07-31
서울특별시,서대문구,그루터기어린이집,가정,19,3.0,3.0,0.0,4.0,N,2018-07-31
서울특별시,서대문구,금화어린이집,국공립,86,18.0,5.0,2.0,6.0,N,2018-07-31
서울특별시,서대문구,꼬꼬마어린이집,가정,20,7.0,4.0,0.0,5.0,N,2018-07-31
서울특별시,서대문구,꼬마박사어린이집,가정,19,6.0,3.0,0.0,4.0,N,2018-07-31
서울특별시,서대문구,꼬마숲어린이집,가정,20,7.0,4.0,0.0,7.0,N,2018-07-31
서울특별시,서대문구,꾸러기어린이집,가정,20,7.0,3.0,0.0,5.0,N,2018-07-31
서울특별시,서대문구,꿈빛나무어린이집,국공립,66,12.0,4.0,1.0,7.0,N,2018-07-31
서울특별시,서대문구,꿈사랑어린이집,민간,39,9.0,3.0,0.0,3.0,N,2018-07-31
서울특별시,서대문구,꿈하은어린이집,가정,19,6.0,3.0,0.0,4.0,N,2018-07-31
서울특별시,서대문구,나빛어린이집,가정,20,6.0,3.0,0.0,4.0,N,2018-07-31
서울특별시,서대문구,다솜어린이집,국공립,19,6.0,3.0,0.0,4.0,N,2018-07-31
서울특별시,서대문구,단비어린이집,가정,19,6.0,4.0,0.0,4.0,N,2018-07-31
서울특별시,서대문구,대신어린이집,법인·단체,52,11.0,5.0,1.0,5.0,Y,2018-07-31
서울특별시,서대문구,독립문어린이집,민간,116,20.0,6.0,1.0,14.0,Y,2018-07-31
서울특별시,서대문구,돈의문어린이집,국공립,30,8.0,6.0,0.0,10.0,N,2018-07-31
서울특별시,서대문구,동방어린이집,국공립,76,12.0,10.0,1.0,14.0,N,2018-07-31
서울특별시,서대문구,동우어린이나라어린이집,민간,128,20.0,7.0,1.0,10.0,Y,2018-07-31
서울특별시,서대문구,두란노어린이집,민간,58,11.0,6.0,0.0,10.0,Y,2018-07-31
서울특별시,서대문구,두산꽃님어린이집,가정,19,6.0,4.0,0.0,5.0,Y,2018-07-31
서울특별시,서대문구,또래어린이집,가정,12,6.0,3.0,0.0,5.0,N,2018-07-31
서울특별시,서대문구,또오기어린이집,가정,14,6.0,2.0,0.0,4.0,N,2018-07-31
서울특별시,서대문구,뜨란어린이집,민간,34,8.0,4.0,0.0,6.0,N,2018-07-31
서울특별시,서대문구,리틀삐아제어린이집,가정,16,5.0,3.0,0.0,4.0,N,2018-07-31
서울특별시,서대문구,마미어린이집,민간,35,11.0,4.0,2.0,4.0,Y,2018-07-31
서울특별시,서대문구,맑은숲어린이집,국공립,46,12.0,4.0,1.0,8.0,N,2018-07-31
서울특별시,서대문구,명랑어린이집,국공립,82,14.0,8.0,1.0,13.0,N,2018-07-31
서울특별시,서대문구,명성어린이집,민간,27,7.0,5.0,0.0,8.0,N,2018-07-31
서울특별시,서대문구,명지대학교어린이집,민간,93,13.0,6.0,2.0,11.0,N,2018-07-31
서울특별시,서대문구,무지개어린이집,민간,24,7.0,3.0,0.0,4.0,Y,2018-07-31
서울특별시,서대문구,미가어린이집,가정,19,6.0,4.0,0.0,4.0,N,2018-07-31
서울특별시,서대문구,미키어린이집,민간,47,7.0,5.0,0.0,11.0,Y,2018-07-31
서울특별시,서대문구,배화어린이집,민간,49,13.0,8.0,0.0,8.0,Y,2018-07-31
서울특별시,서대문구,백합어린이집,가정,20,7.0,3.0,0.0,5.0,N,2018-07-31
서울특별시,서대문구,벽산어린이집,가정,19,6.0,4.0,0.0,0.0,N,2018-07-31
서울특별시,서대문구,별빛어린이집,국공립,30,9.0,3.0,0.0,7.0,N,2018-07-31
서울특별시,서대문구,별초롱어린이집,가정,15,5.0,2.0,4.0,4.0,N,2018-07-31
서울특별시,서대문구,보은어린이집,법인·단체,74,10.0,6.0,0.0,7.0,N,2018-07-31
서울특별시,서대문구,북성엘리트어린이집,민간,48,11.0,6.0,0.0,6.0,Y,2018-07-31
서울특별시,서대문구,북아현방과후교실어린이집,국공립,40,6.0,2.0,1.0,4.0,N,2018-07-31
서울특별시,서대문구,북아현어린이집,국공립,79,14.0,5.0,2.0,8.0,N,2018-07-31
서울특별시,서대문구,사랑어린이집,가정,19,6.0,3.0,0.0,4.0,N,2018-07-31
서울특별시,서대문구,산들어린이집,국공립,37,8.0,4.0,0.0,6.0,N,2018-07-31
서울특별시,서대문구,산마루어린이집,국공립,62,11.0,0.0,1.0,4.0,N,2018-07-31
서울특별시,서대문구,삼성영재어린이집,가정,19,6.0,3.0,0.0,4.0,N,2018-07-31
서울특별시,서대문구,삼성이화어린이집,민간,32,9.0,5.0,0.0,5.0,N,2018-07-31
서울특별시,서대문구,삼성한울어린이집,가정,18,5.0,3.0,0.0,4.0,N,2018-07-31
서울특별시,서대문구,새벽산어린이집,가정,19,6.0,3.0,0.0,5.0,N,2018-07-31
서울특별시,서대문구,새솔어린이집,국공립,109,23.0,8.0,3.0,15.0,N,2018-07-31
서울특별시,서대문구,샛별어린이집,민간,49,11.0,5.0,0.0,8.0,Y,2018-07-31
서울특별시,서대문구,서대문구청직장어린이집,직장,79,16.0,6.0,0.0,23.0,N,2018-07-31
서울특별시,서대문구,서대문어린이집,국공립,77,14.0,5.0,1.0,6.0,N,2018-07-31
서울특별시,서대문구,서대문종합사회복지관방과후교실어린이집,국공립,56,7.0,3.0,1.0,12.0,N,2018-07-31
서울특별시,서대문구,서대문천연사임당어린이집,가정,13,6.0,3.0,0.0,4.0,N,2018-07-31
서울특별시,서대문구,서문어린이집,민간,91,10.0,8.0,0.0,8.0,Y,2018-07-31
서울특별시,서대문구,서연어린이집,국공립,53,11.0,6.0,1.0,12.0,N,2018-07-31
서울특별시,서대문구,선정어린이집,가정,13,5.0,3.0,0.0,3.0,N,2018-07-31
